filename,hand_x1,hand_y1,hand_z1,hand_x2,hand_y2,hand_z2,hand_x3,hand_y3,hand_z3,hand_x4,hand_y4,hand_z4,hand_x5,hand_y5,hand_z5,hand_x6,hand_y6,hand_z6,hand_x7,hand_y7,hand_z7,hand_x8,hand_y8,hand_z8,hand_x9,hand_y9,hand_z9,hand_x10,hand_y10,hand_z10,hand_x11,hand_y11,hand_z11,hand_x12,hand_y12,hand_z12,hand_x13,hand_y13,hand_z13,hand_x14,hand_y14,hand_z14,hand_x15,hand_y15,hand_z15,hand_x16,hand_y16,hand_z16,hand_x17,hand_y17,hand_z17,hand_x18,hand_y18,hand_z18,hand_x19,hand_y19,hand_z19,hand_x20,hand_y20,hand_z20,hand_x21,hand_y21,hand_z21
door,0.1404012143611908,0.49493998289108276,-5.509502807399258e-05,0.3682413697242737,0.5663598775863647,0.07576783746480942,0.5480655431747437,0.603236734867096,0.05215592682361603,0.7031059861183167,0.6419179439544678,0.031949471682310104,0.8084745407104492,0.6946353316307068,-0.026405759155750275,0.6525362730026245,0.45252519845962524,-0.08186303079128265,0.6845380067825317,0.45961427688598633,0.10902820527553558,0.6081740856170654,0.479110985994339,0.19543874263763428,0.5466359257698059,0.4893399775028229,0.20444649457931519,0.594178318977356,0.3815850019454956,-0.08939460664987564,0.6251136660575867,0.40345609188079834,0.12268504500389099,0.5664302110671997,0.4227057099342346,0.15600669384002686,0.4947773814201355,0.4320616126060486,0.10607252269983292,0.5157901048660278,0.33084431290626526,-0.058925431221723557,0.5449053645133972,0.3563023507595062,0.14441047608852386,0.49924808740615845,0.3824516236782074,0.16804304718971252,0.436408132314682,0.397943913936615,0.10652843117713928,0.430356502532959,0.2921874523162842,-0.02495669201016426,0.47930583357810974,0.3091517686843872,0.11563120037317276,0.44357261061668396,0.3353801369667053,0.1656627506017685,0.38813516497612,0.3500235676765442,0.1600417047739029
door,0.14234530925750732,0.48226088285446167,-1.4472538168774918e-05,0.36118993163108826,0.5574110746383667,0.07372451573610306,0.5363722443580627,0.59773188829422,0.0468774251639843,0.6873043775558472,0.6377300024032593,0.022707583382725716,0.787338137626648,0.6900745034217834,-0.04062320664525032,0.6592808365821838,0.45090603828430176,-0.09689602255821228,0.6728322505950928,0.4559023678302765,0.08488109707832336,0.5967200994491577,0.4721101224422455,0.16414552927017212,0.5384692549705505,0.48130378127098083,0.16617465019226074,0.6059432625770569,0.378830224275589,-0.10529995709657669,0.6159822940826416,0.3990880250930786,0.10195375978946686,0.559096097946167,0.41529539227485657,0.12638479471206665,0.489386647939682,0.4231235980987549,0.07027828693389893,0.5279966592788696,0.32637178897857666,-0.07494407892227173,0.5370006561279297,0.3509732186794281,0.12613233923912048,0.4912405014038086,0.3746325969696045,0.14287814497947693,0.4302370548248291,0.38941851258277893,0.07223682850599289,0.442251980304718,0.2853092551231384,-0.04157794266939163,0.4777447581291199,0.30405348539352417,0.09467551112174988,0.44005244970321655,0.32885420322418213,0.13892550766468048,0.3869737386703491,0.3416120707988739,0.12730833888053894
door,0.13559719920158386,0.46565887331962585,-3.020257645403035e-05,0.3494352102279663,0.5462117195129395,0.07580489665269852,0.5235817432403564,0.5880109667778015,0.053219232708215714,0.674287736415863,0.6299581527709961,0.032385870814323425,0.7742589712142944,0.681249737739563,-0.02674715220928192,0.6547197699546814,0.44505447149276733,-0.09109929203987122,0.6707261800765991,0.4540380537509918,0.09568160027265549,0.591574490070343,0.4688035845756531,0.18294326961040497,0.5312302112579346,0.47535744309425354,0.193880096077919,0.6052622199058533,0.3716477155685425,-0.10061036050319672,0.6165561676025391,0.39613860845565796,0.10864612460136414,0.5585324764251709,0.41183096170425415,0.13854891061782837,0.48806822299957275,0.4178089201450348,0.08900654315948486,0.5303032398223877,0.3171273469924927,-0.0708465725183487,0.5410550832748413,0.34440743923187256,0.13377809524536133,0.49376899003982544,0.36743253469467163,0.15712663531303406,0.43149423599243164,0.3802119493484497,0.08877706527709961,0.4469377100467682,0.2741837203502655,-0.04006415233016014,0.4832633435726166,0.29432928562164307,0.09925804287195206,0.44233742356300354,0.31852686405181885,0.1486332267522812,0.3861960172653198,0.3301391005516052,0.13849160075187683
door,0.12760737538337708,0.4510750472545624,-1.458693077438511e-05,0.33942845463752747,0.5331579446792603,0.07911282777786255,0.5081533193588257,0.5773331522941589,0.059098586440086365,0.6538858413696289,0.6216028928756714,0.04039769247174263,0.7474173307418823,0.6756083965301514,-0.015872132033109665,0.6475195288658142,0.437813401222229,-0.07682937383651733,0.663885235786438,0.4433768689632416,0.10903719812631607,0.5839998722076416,0.4568607807159424,0.19140201807022095,0.5234794616699219,0.46415790915489197,0.19713276624679565,0.6005436778068542,0.3649040460586548,-0.0867549329996109,0.6131618022918701,0.384284645318985,0.12150296568870544,0.5541161894798279,0.39831283688545227,0.14833103120326996,0.483492374420166,0.4038517475128174,0.09600678831338882,0.5281029343605042,0.3096611499786377,-0.05774790793657303,0.5376891493797302,0.3322319984436035,0.1460241973400116,0.4890329837799072,0.35442930459976196,0.16561304032802582,0.42658329010009766,0.36679649353027344,0.0969821959733963,0.4459521472454071,0.26576781272888184,-0.027104688808321953,0.4792867600917816,0.2837274372577667,0.11116939038038254,0.4376926124095917,0.3070027232170105,0.1585719734430313,0.38226547837257385,0.3176129162311554,0.1479680836200714
door,0.125210702419281,0.4333481192588806,4.8363481255364604e-06,0.32850027084350586,0.5186454653739929,0.06815116852521896,0.4914901554584503,0.5674117803573608,0.03826869651675224,0.6319385766983032,0.6151257157325745,0.011922751553356647,0.7216870784759521,0.6705536842346191,-0.05165524408221245,0.6381914019584656,0.4306775629520416,-0.09821858257055283,0.6538773775100708,0.4361474812030792,0.07786791771650314,0.5728391408920288,0.447763055562973,0.15875375270843506,0.5137097239494324,0.4533567726612091,0.16407300531864166,0.5965725183486938,0.35713326930999756,-0.10595688223838806,0.6076578497886658,0.377933531999588,0.08971617370843887,0.54787677526474,0.39079785346984863,0.11064741015434265,0.47869905829429626,0.39481669664382935,0.05636713653802872,0.5279074311256409,0.30079495906829834,-0.07598861306905746,0.5356166362762451,0.32542139291763306,0.11646409332752228,0.4849642515182495,0.3465607762336731,0.12980204820632935,0.42313772439956665,0.3575124740600586,0.05825914070010185,0.4493064880371094,0.2556087076663971,-0.04365130141377449,0.4828735888004303,0.2757342457771301,0.08515337109565735,0.43912941217422485,0.2981939911842346,0.12673792243003845,0.3839511275291443,0.3076550364494324,0.11379802972078323
door,0.11715161800384521,0.4185146689414978,-1.3365473023441155e-05,0.3088797926902771,0.5090470314025879,0.06259872019290924,0.46892157196998596,0.5602048635482788,0.028629371896386147,0.6064797639846802,0.6108108162879944,-0.00027600524481385946,0.6925579905509949,0.6678907871246338,-0.06685702502727509,0.6339718103408813,0.42215827107429504,-0.11333994567394257,0.6381877064704895,0.43346941471099854,0.06112445890903473,0.554404079914093,0.44471681118011475,0.14107182621955872,0.49658483266830444,0.44701874256134033,0.14458005130290985,0.5949355959892273,0.3473176956176758,-0.11826413124799728,0.5906314849853516,0.37640735507011414,0.07651061564683914,0.5310071110725403,0.38867223262786865,0.09051301330327988,0.46260377764701843,0.3896949589252472,0.03315470367670059,0.5265101790428162,0.29031580686569214,-0.08401919156312943,0.5227059125900269,0.32288724184036255,0.10682966560125351,0.47245150804519653,0.3440427780151367,0.1127777099609375,0.41012510657310486,0.3529644012451172,0.03528687357902527,0.44772520661354065,0.2449932098388672,-0.04783269017934799,0.47347551584243774,0.2697637677192688,0.07830888032913208,0.42785730957984924,0.29322636127471924,0.11363711208105087,0.37244468927383423,0.301888108253479,0.09712041914463043
door,0.10120713710784912,0.40836167335510254,-1.6074831364676356e-05,0.2954828143119812,0.5018446445465088,0.06055412068963051,0.4507959485054016,0.5556121468544006,0.022469934076070786,0.5848387479782104,0.6080601215362549,-0.009029882028698921,0.6691780090332031,0.6664817333221436,-0.07631011307239532,0.6130461096763611,0.41628095507621765,-0.11807016283273697,0.6329077482223511,0.42765018343925476,0.05408281087875366,0.5474507212638855,0.44093772768974304,0.1357661634683609,0.48702913522720337,0.44314292073249817,0.14161092042922974,0.574837863445282,0.3412795662879944,-0.12118156254291534,0.5900959968566895,0.3699813783168793,0.06864847987890244,0.529593288898468,0.383212685585022,0.08630111813545227,0.4598243236541748,0.3830309212207794,0.034722741693258286,0.5091315507888794,0.2838330864906311,-0.08523321151733398,0.5219050645828247,0.3158184289932251,0.1024765819311142,0.4705345332622528,0.3381457030773163,0.11239252239465714,0.4063490331172943,0.3459932804107666,0.04173412173986435,0.4339228570461273,0.23852357268333435,-0.04682285338640213,0.4724181592464447,0.2636546492576599,0.08021384477615356,0.42836180329322815,0.2879555821418762,0.11969969421625137,0.37168166041374207,0.29663950204849243,0.10973593592643738
door,0.09057366847991943,0.3979845643043518,-1.1739550245692953e-05,0.2814332842826843,0.49519988894462585,0.06570001691579819,0.4349533021450043,0.5498373508453369,0.03131705895066261,0.5701732635498047,0.6034791469573975,0.002767723985016346,0.6569375991821289,0.6622664332389832,-0.0620492547750473,0.6077539920806885,0.4105393886566162,-0.10910924524068832,0.6192077994346619,0.4246225655078888,0.06725077331066132,0.534273087978363,0.4374525845050812,0.14970362186431885,0.4742770493030548,0.43850523233413696,0.15496161580085754,0.5700290203094482,0.3352317810058594,-0.11290091276168823,0.5782175064086914,0.3658369481563568,0.08351070433855057,0.5182933211326599,0.378365159034729,0.10440279543399811,0.44812285900115967,0.3773537874221802,0.05578352138400078,0.5038763284683228,0.2775875926017761,-0.07667370140552521,0.5126746892929077,0.31048065423965454,0.11576016992330551,0.4618995785713196,0.33259066939353943,0.12930820882320404,0.3984508216381073,0.3396947383880615,0.0600399449467659,0.4277607500553131,0.2320660799741745,-0.03842965140938759,0.4653165340423584,0.2554798126220703,0.09228843450546265,0.4220781922340393,0.27992844581604004,0.13438749313354492,0.3652758002281189,0.288865864276886,0.12648583948612213
door,0.0770341157913208,0.38845786452293396,2.0520915313682053e-06,0.26808643341064453,0.4872724115848541,0.06753737479448318,0.4208677113056183,0.5434098839759827,0.033774420619010925,0.5557423830032349,0.5979786515235901,0.0064695547334849834,0.6418980360031128,0.6572958827018738,-0.060215745121240616,0.6030455827713013,0.40793687105178833,-0.09468104690313339,0.6092541217803955,0.41847530007362366,0.08318350464105606,0.525359034538269,0.42889511585235596,0.1585913598537445,0.4664550721645355,0.4307657778263092,0.15665407478809357,0.5697577595710754,0.33261001110076904,-0.10129758715629578,0.5753737092018127,0.35676172375679016,0.09534657001495361,0.5150564312934875,0.3669000267982483,0.1065223217010498,0.4452579915523529,0.36592569947242737,0.05183252692222595,0.5050617456436157,0.2729734778404236,-0.0687270537018776,0.5069575905799866,0.3010028004646301,0.12220259755849838,0.4530790150165558,0.32143348455429077,0.12198083102703094,0.39110416173934937,0.3291460871696472,0.04335679113864899,0.4292348623275757,0.22491425275802612,-0.03367898240685463,0.4602956175804138,0.2470329850912094,0.09159602969884872,0.4142381548881531,0.26962634921073914,0.1261892169713974,0.35899490118026733,0.2782326340675354,0.1135106161236763
door,0.07356640696525574,0.3757416605949402,-1.616988993191626e-05,0.266152948141098,0.4775717556476593,0.07596046477556229,0.4169614017009735,0.535357654094696,0.04970109835267067,0.5493436455726624,0.5900258421897888,0.026238765567541122,0.6368327140808105,0.646914005279541,-0.03534376993775368,0.6051492691040039,0.4010965824127197,-0.0709882378578186,0.60346519947052,0.4123152196407318,0.11314830929040909,0.5204234719276428,0.42113256454467773,0.1922491490840912,0.4602433443069458,0.4224577844142914,0.19409000873565674,0.5712404847145081,0.32554784417152405,-0.08017223328351974,0.5694721937179565,0.34931838512420654,0.123314768075943,0.5093968510627747,0.35877764225006104,0.14087149500846863,0.4385991096496582,0.3581180274486542,0.0894605740904808,0.5061232447624207,0.2654881477355957,-0.05138419568538666,0.5028564929962158,0.2919604778289795,0.1427154690027237,0.45083850622177124,0.31228089332580566,0.1465023308992386,0.38854068517684937,0.32065778970718384,0.07075636833906174,0.4288948178291321,0.2170875519514084,-0.019766803830862045,0.4532839357852936,0.2388821691274643,0.10827995836734772,0.40615251660346985,0.26099932193756104,0.14360275864601135,0.34853675961494446,0.26905587315559387,0.13254444301128387
